email_id,subject,participants,time,location,topic
195,RE: Atualizacao de processo,,esta semana,,"atualizacao; processo; cara professora,; esta semana; moodle"
326,Re: Indisponibilidade para a reuniao,motivo impr,,,indisponibilidade; bom dia; dia; efeito; a reuniao
64,RE: Reuniao sobre acompanhamento pedagogico,Proponho; situacao,quarta,presencial - gabinete 3,reuniao; acompanhamento pedagogico; caro; proponho; gabinete
351,Fw: Marcacao de reuniao,,as 17h,,marcacao; reuniao; bom dia; dia; horarios
263,Fw: Informacao academica,,,,informacao; bom dia; partilho; ata; validacao
68,RE: Disponibilidade para reuniao,Professora Ana Costa; aulas para quan,,,"disponibilidade; reuniao; cara; professora ana costa,; planeamento"
252,Fw: Confirmado,Miguel Santos; Migu,,,miguel santos; minha parte; esta confirmado; remoto
157,Reuniao sem efeito,canc,,,reuniao; efeito; viva secretaria academica; nao; google meet
84,Fw: Informacao academica,favor confirm,,,informacao; sistema academico; a estudante; a pauta
233,Re: Agendamento - credibilidade dos dados recolhidos,dos,,,agendamento; credibilidade; dados; cara colega; seminario
15,RE: Imprevisto - revisao do plano de trabalhos,Professora Ana Costa; Prof; Surgiu,,,": imprevisto; plano; trabalhos; professora ana costa,; horario"
164,Fw: Re: Marcacao de reuniao,Professora Sofia Carvalho,quinta; as 16h,,"marcacao; reuniao; cara; professora sofia carvalho, confirmo; google meet,"
247,Confirmado,Fica,quinta; as 16h,,as 16h
55,Fw: Imprevisto - acompanhamento pedagogico,Peço; desmarcar a r; acompanham; Ana Martins,,,imprevisto; acompanhamento pedagogico; horario; departamento; obrigada
365,Atualizacao de processo,favor confirm,,,atualizacao; processo; caro; sistema academico; a pauta
383,Re: Tudo certo para a reuniao,Ricardo Mendes; ficar marca,,,"caro; /a docente; prof; ricardo mendes,; a reuniao"
189,Re: Cancelamento de reuniao,Zoom; ser adia,,,"cancelamento; reuniao; aula; , em zoom; a estudante"
286,Re: Reuniao confirmada,,,,reuniao; bom dia; confirmo; remoto; a minha presenca
8,Fw: Aviso aos estudantes,Professora Sofia Carvalho; Agradeco; Irei,,,estudantes; bom dia; professora sofia carvalho; agradeco; relatorio
280,Fw: Informacao academica,Relembro; amanha s,,,"informacao; cara professora, relembro que a aula de amanha sera dedicada a exercicios praticos."
201,Reuniao confirmada,Exmo./a Senhor,,,"reuniao; horario; departamento; exmo./a senhor/a, confirmo a minha presenca na reuniao em google meet."
354,Re: Disponibilidade para reuniao,,,,disponibilidade; reuniao; caro; /a docente; final
214,Fw: Documentacao em falta,Gabinete de Estagios; Estagios; pr,,,documentacao; falta; cara; gabinete; estagios
138,RE: Reuniao sem efeito,Mestra; indicacao; avaliaco,,,reuniao; efeito; caro; coordenacao; mestrado
258,Reuniao sem efeito,Gabinete de Estagios; Gabin; Estagios; canc,,,reuniao; efeito; gabinete; estagios; nao
111,Re: Atualizacao de processo,Mariana Lopes; Envio,,,"atualizacao; processo; bom dia; mariana lopes; , envio"
198,RE: Remarcacao de reuniao,Prof; Ricardo Mendes; sab; para r,,,remarcacao; reuniao; boa tarde prof; horario; departamento
105,RE: Imprevisto - avaliacao continua,canc,,,: imprevisto; cara; conselho pedagogico; nao; reuniao
197,Necessidade de remarcar,Proponho; almoco; situacao,,,necessidade; proponho; almoco; remoto; situacao
348,Re: Informacao academica,favor confirm,,,informacao; bom dia; sistema academico; a pauta
376,RE: Remarcacao de reuniao,combinar uma r; dos,quinta; as 16h,,remarcacao; reuniao; caro; conselho pedagogico; disponibilidade
384,RE: Cancelamento de reuniao,Exmo./a Senhor; motivo impr,sexta,,cancelamento; reuniao; exmo./a senhor/a; sexta; efeito
367,Re: Reuniao confirmada,Coordenacao de Mestrado; Mestra; Tudo; equival,sexta,,reuniao; cara; coordenacao; mestrado; sexta
210,Fw: Pedido de esclarecimento,Professor Luis Almeida; Segue,,,pedido; esclarecimento; caro; /a docente; professor luis almeida
39,Fw: Remarcacao de reuniao,Secretaria Academica; Conseguimos; curricular para; almoco,,presencial - gabinete 3,remarcacao; reuniao; caro; secretaria academica; coordenacao
125,RE: Tudo certo para a reuniao,Professora Sofia Carvalho,,,"bom dia; professora sofia carvalho; esta confirmado; remoto; , da minha parte"
385,Aviso aos estudantes,Caro Professor,,,"aviso; estudantes; caro professor, partilho a versao revista da ata para validacao."
159,Re: Reuniao sem efeito,indicacao,,,reuniao; efeito; bom dia; conselho pedagogico; direcao
23,Confirmado,Carolina Silva,,,"carolina silva, confirmo; seminario; revisao; plano; trabalhos"
362,Re: Pedido de reuniao,Cara Professora; Preciso; esclar,,,"pedido; reuniao; cara professora; secretaria academica, preciso de esclarecer alguns pontos sobre validacao de atas."
344,Re: Marcacao de reuniao,Viva Mariana Lopes,,,"marcacao; reuniao; viva mariana lopes,; aula; processo"
341,RE: Ponto de situacao,Secretaria Academica; Secr; sab; para r,sexta,,"ponto de situacao.; secretaria academica, gostaria de saber se tem disponibilidade para reunirmos sexta as 14h30, em secretaria, para falarmos sobre revisao do plano de trabalhos."
391,Fw: Imprevisto - coordenacao da unidade curricular,Professora Ana Costa; Surgiu,,,"imprevisto; unidade curricular; bom dia; professora ana costa,; horario"
213,Re: Reuniao confirmada,Caro Professor Professora Ana Costa; ficar marca,,,"reuniao; caro; professor; professora ana costa,"
61,RE: Pedido de reuniao,Mariana Lopes; manha para alinharmos os proximos passos r,segunda; manha,,: pedido; reuniao; mariana lopes; manha; submissao
137,Reuniao confirmada,,as 11h,,reuniao; caro; /a colega; terca; processo
221,Confirmado,Coordenacao de Mestrado; Coor; Mestra; reunio; servico,quarta,,coordenacao; mestrado; confirmo; sala; reunioes
259,Envio de documentos,favor confirm; Miguel Santos,,,"envio; documentos; cara professora,; sistema academico; obrigada"
300,Imprevisto - acompanhamento pedagogico,ser adia,,,"imprevisto; - acompanhamento pedagogico; , em remoto; a reuniao"
240,RE: Re: Marcacao de reuniao,Professor Professora Ana Costa; Confirmo,sexta,,": re; marcacao; reuniao; exmo; professor professora ana costa, confirmo"
131,RE: Entrega de relatorio,,esta semana,,: entrega; relatorio; viva; esta semana; moodle
45,Fw: Tudo certo para a reuniao,,manha,,bom dia; apresentacao; durante a manha; os documentos relativos; a reuniao
317,Re: Disponibilidade para reuniao,Secretaria Academica; Secr; sab; para r,,,"disponibilidade; reuniao; secretaria academica, gostaria de saber se tem disponibilidade para reunirmos quando for conveniente, em google meet, para falarmos sobre processo de estagio."
349,Entrega de relatorio,Miguel Santos; Migu; Envio,,,"entrega; relatorio; miguel santos, envio; anexo; atas"
340,Re: Reuniao confirmada,,,,reuniao; bom dia; confirmo; teams; horario
76,Fw: Atualizacao de processo,favor confirm,,,atualizacao; processo; caro; sistema academico; a pauta
148,Aviso aos estudantes,,,,aviso; estudantes; bom dia; partilho; ata
128,Fw: Reuniao confirmada,Secretaria Academica; Zoom; avaliaco,as 17h,,"reuniao; cara; secretaria academica, confirmo; dia; zoom"
4,Fw: Aviso aos estudantes,Informamos; avaliacao t,esta sexta,,estudantes; elementos; avaliacao; esta sexta-feira; o prazo
209,RE: Reuniao sem efeito,Professor; motivo impr; quan,,,reuniao; efeito; exmo; professor; motivo imprevisto
32,Fw: Indisponibilidade para a reuniao,Coordenacao de Mestrado; Mestra; indicacao,,,indisponibilidade; cara; coordenacao; mestrado; direcao
3,RE: Reuniao sobre validacao de atas,Professor Professora Ana Costa; sab; para r,proxima semana,,reuniao; validacao; atas; exmo; horario
301,Indisponibilidade para a reuniao,Professora Sofia Carvalho; Surgiu,quinta; as 16h,,"indisponibilidade; cara; professora sofia carvalho,; horario; nao"
158,Fw: Imprevisto - analise dos resultados dos estudantes,Carolina Silva; indicacao,,,imprevisto; analise; resultados; estudantes; carolina silva
181,RE: Imprevisto - avaliacao continua,Gabinete de Estagios; Estagios,as 10h,,: imprevisto; caro; gabinete; estagios; horario
24,Indisponibilidade para a reuniao,Professor Professora Ana Costa; Surgiu,as 15h,,"indisponibilidade; exmo; professor professora ana costa,; horario; nao"
266,Fw: Re: Marcacao de reuniao,Professora Sofia Carvalho; Tudo,,,marcacao; reuniao; caro; professora sofia carvalho; dia
94,Re: Marcacao de reuniao,Mariana Lopes,,,"marcacao; reuniao; cara; mariana lopes; , confirmo"
96,Re: Reuniao sobre horarios do semestre,,,,reuniao; horarios; semestre; aula; o objetivo
67,Fw: Informacao academica,Partilho,,,"informacao; boa tarde, partilho; ata; validacao; a versao revista"
264,Atualizacao de processo,,esta semana,,atualizacao; processo; viva; esta semana; moodle
250,Fw: Pedido de reuniao,Rita Fernandes; Preciso; esclar; progr,,,"pedido; reuniao; bom dia; rita fernandes; , preciso"
310,Re: Agendamento - horarios do semestre,Diretor do Curso; sab; para r,as 17h,,agendamento; semestre; bom dia; diretor; curso
396,Fw: Cancelamento de reuniao,motivo impr; depois,,,cancelamento; reuniao; bom dia; motivo imprevisto; almoco
112,Confirmacao - preparacao da apresentacao,Miguel Santos,sexta,,"confirmacao; apresentacao; bom dia; miguel santos; , confirmo"
163,Fw: Cancelamento de reuniao,Professora Ana Costa; Nao; canc,,,"cancelamento; reuniao; bom dia; professora ana costa, nao vou conseguir estar presente na reuniao em remoto, pelo que terei de cancelar."
347,Re: Envio de documentos,Informamos; avaliacao t,esta sexta,,envio; documentos; bom dia; elementos; avaliacao
123,Reuniao sobre distribuicao de servico docente,sab; para r; servico,manha,,"reuniao; distribuicao; viva conselho pedagogico, gostaria de saber se tem disponibilidade para reunirmos durante a manha, em teams,"
2,Fw: Ponto de situacao,sab; para r; Zoom,as 10h,,"viva; diretor; curso; , gostaria; disponibilidade"
107,Fw: Confirmacao - planeamento de aulas,Professor,sexta,,confirmacao; - planeamento; aulas; exmo; professor
