example_id,category,exact_match,precision,recall,f1_score,confidence,predicted,reference,error_type
195:participants,participants,0.0,0.0,0.0,0.0,0.0,,Carolina Silva,LOW_CONFIDENCE
195:time,time,0.0,0.0,0.0,0.0,0.9,esta semana,,TRUNCATION
195:time_normalized,time_normalized,0.0,0.0,0.0,0.0,0.9,2026-03-02T00:00:00,,HALLUCINATION
195:location,location,1.0,1.0,1.0,1.0,0.0,,,LOW_CONFIDENCE
195:topic,topic,0.0,0.0,0.0,0.0,0.9,"atualizacao; processo; cara professora,; esta semana; moodle",,HALLUCINATION
326:participants,participants,0.0,0.0,0.0,0.0,0.6,motivo impr,Mariana Lopes,WRONG_ANSWER
326:time,time,0.0,0.0,0.0,0.0,0.0,,dia 18 as 9h30,LOW_CONFIDENCE
326:time_normalized,time_normalized,0.0,0.0,0.0,0.0,0.0,,2026-03-23T09:30:00,LOW_CONFIDENCE
326:location,location,0.0,0.0,0.0,0.0,0.0,,remoto - zoom,LOW_CONFIDENCE
326:topic,topic,0.0,0.0,0.0,0.0,0.86,indisponibilidade; bom dia; dia; efeito; a reuniao,coordenacao da unidade curricular,HALLUCINATION
64:participants,participants,0.0,0.0,0.0,0.0,0.7,Proponho; situacao,Professora Sofia Carvalho,HALLUCINATION
64:time,time,0.0,1.0,0.3333333333333333,0.5,0.9,quarta,quarta a tarde,TRUNCATION
64:time_normalized,time_normalized,0.0,0.0,0.0,0.0,0.9,2026-03-18T00:00:00,2026-03-18T15:00:00,HALLUCINATION
64:location,location,0.0,0.75,0.75,0.75,0.85,presencial - gabinete 3,presencial - gabinete 3.12,HALLUCINATION
64:topic,topic,0.0,0.16666666666666666,0.5,0.25,0.9,reuniao; acompanhamento pedagogico; caro; proponho; gabinete,acompanhamento pedagogico,HALLUCINATION
351:participants,participants,0.0,0.0,0.0,0.0,0.0,,Secretaria Academica,LOW_CONFIDENCE
351:time,time,0.0,1.0,0.5,0.6666666666666666,0.9,as 17h,dia 22 as 17h,TRUNCATION
351:time_normalized,time_normalized,1.0,1.0,1.0,1.0,0.9,2026-03-27T17:00:00,2026-03-27T17:00:00,EXACT_MATCH
351:location,location,0.0,0.0,0.0,0.0,0.0,,remoto - zoom,LOW_CONFIDENCE
351:topic,topic,0.0,0.2,0.3333333333333333,0.25,0.9,marcacao; reuniao; bom dia; dia; horarios,horarios do semestre,HALLUCINATION
263:participants,participants,0.0,0.0,0.0,0.0,0.0,,Mariana Lopes,LOW_CONFIDENCE
263:time,time,1.0,1.0,1.0,1.0,0.0,,,LOW_CONFIDENCE
263:time_normalized,time_normalized,1.0,1.0,1.0,1.0,0.0,,,LOW_CONFIDENCE
263:location,location,1.0,1.0,1.0,1.0,0.0,,,LOW_CONFIDENCE
263:topic,topic,0.0,0.0,0.0,0.0,0.9,informacao; bom dia; partilho; ata; validacao,,HALLUCINATION
68:participants,participants,0.0,0.3333333333333333,0.6666666666666666,0.4444444444444444,0.7,Professora Ana Costa; aulas para quan,Professora Ana Costa,HALLUCINATION
68:time,time,1.0,1.0,1.0,1.0,0.0,,,LOW_CONFIDENCE
68:time_normalized,time_normalized,1.0,1.0,1.0,1.0,0.0,,,LOW_CONFIDENCE
68:location,location,0.0,0.0,0.0,0.0,0.0,,remoto - zoom,LOW_CONFIDENCE
68:topic,topic,0.0,0.14285714285714285,0.3333333333333333,0.2,0.9,"disponibilidade; reuniao; cara; professora ana costa,; planeamento",planeamento de aulas,HALLUCINATION
252:participants,participants,0.0,0.3333333333333333,0.5,0.4,0.7,Miguel Santos; Migu,Miguel Santos,HALLUCINATION
252:time,time,1.0,1.0,1.0,1.0,0.0,,,LOW_CONFIDENCE
252:time_normalized,time_normalized,1.0,1.0,1.0,1.0,0.0,,,LOW_CONFIDENCE
252:location,location,0.0,0.0,0.0,0.0,0.0,,remoto - zoom,LOW_CONFIDENCE
252:topic,topic,0.0,0.0,0.0,0.0,0.9,miguel santos; minha parte; esta confirmado; remoto,planeamento de aulas,HALLUCINATION
157:participants,participants,0.0,0.0,0.0,0.0,0.6,canc,Professor Luis Almeida,WRONG_ANSWER
157:time,time,1.0,1.0,1.0,1.0,0.0,,,LOW_CONFIDENCE
157:time_normalized,time_normalized,1.0,1.0,1.0,1.0,0.0,,,LOW_CONFIDENCE
157:location,location,0.0,0.0,0.0,0.0,0.0,,remoto - google meet,LOW_CONFIDENCE
