example_id,category,exact_match,precision,recall,f1_score,confidence,predicted,reference,error_type
392:participants,participants,0.0,0.0,0.0,0.0,0.9995047450065613,Prof. Ricardo Mendes,Carolina Silva,HALLUCINATION
392:time,time,1.0,1.0,1.0,1.0,0.0,,,LOW_CONFIDENCE
392:time_normalized,time_normalized,1.0,1.0,1.0,1.0,0.0,,,LOW_CONFIDENCE
392:location,location,1.0,1.0,1.0,1.0,0.8,remoto - zoom,remoto - zoom,EXACT_MATCH
392:topic,topic,0.0,0.0,0.0,0.0,0.5606858730316162,Prof. Ricardo Mendes,analise dos resultados dos estudantes,HALLUCINATION
16:participants,participants,0.0,0.0,0.0,0.0,0.9699735045433044,Diretor do Curso,Professora Sofia Carvalho,HALLUCINATION
16:time,time,1.0,1.0,1.0,1.0,0.0,,,LOW_CONFIDENCE
16:time_normalized,time_normalized,1.0,1.0,1.0,1.0,0.0,,,LOW_CONFIDENCE
16:location,location,1.0,1.0,1.0,1.0,0.0,,,LOW_CONFIDENCE
16:topic,topic,0.0,0.0,0.0,0.0,0.5204281806945801,Atualizacao de processo,,HALLUCINATION
88:participants,participants,0.0,0.0,0.0,0.0,0.8080684542655945,Professora Sofia Carvalho,Coordenacao de Mestrado,HALLUCINATION
88:time,time,1.0,1.0,1.0,1.0,0.0,,,LOW_CONFIDENCE
88:time_normalized,time_normalized,1.0,1.0,1.0,1.0,0.0,,,LOW_CONFIDENCE
88:location,location,0.0,0.0,0.0,0.0,0.9,presencial - secretaria,,HALLUCINATION
88:topic,topic,0.0,0.0,0.0,0.0,0.9999978542327881,acompanhamento pedagogico,,TRUNCATION
293:participants,participants,0.0,0.0,0.0,0.0,0.9999912977218628,Coordenacao de Mestrado,Professora Ana Costa,HALLUCINATION
293:time,time,1.0,1.0,1.0,1.0,0.0,,,LOW_CONFIDENCE
293:time_normalized,time_normalized,1.0,1.0,1.0,1.0,0.0,,,LOW_CONFIDENCE
293:location,location,0.0,0.0,0.0,0.0,0.8,remoto - zoom,,HALLUCINATION
293:topic,topic,0.0,0.0,0.0,0.0,0.6106110215187073,Coordenacao de Mestrado,,HALLUCINATION
53:participants,participants,1.0,1.0,1.0,1.0,0.9440159201622009,Secretaria Academica,Secretaria Academica,EXACT_MATCH
53:time,time,0.0,0.0,0.0,0.0,0.9999950528144836,amanha as 15h,,TRUNCATION
53:time_normalized,time_normalized,0.0,0.0,0.0,0.0,0.9999950528144836,2026-03-24T15:00:00,,HALLUCINATION
53:location,location,0.0,0.0,0.0,0.0,0.6,remoto - zoom,,HALLUCINATION
53:topic,topic,0.0,0.0,0.0,0.0,0.9999508261680603,avaliacao continua,,TRUNCATION
284:participants,participants,1.0,1.0,1.0,1.0,0.989900529384613,Secretaria Academica,Secretaria Academica,EXACT_MATCH
284:time,time,0.0,0.0,0.0,0.0,0.0,,segunda de manha,LOW_CONFIDENCE
284:time_normalized,time_normalized,0.0,0.0,0.0,0.0,0.0,,2026-04-13T09:00:00,LOW_CONFIDENCE
284:location,location,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9,presencial - biblioteca,remoto - zoom,HALLUCINATION
284:topic,topic,0.0,0.0,0.0,0.0,0.9999293088912964,proposta de projeto,avaliacao continua,WRONG_ANSWER
222:participants,participants,0.0,0.0,0.0,0.0,0.8039295673370361,Professora Sofia Carvalho,Conselho Pedagogico,HALLUCINATION
222:time,time,0.0,0.0,0.0,0.0,0.9999908804893494,terca as 11h,,TRUNCATION
222:time_normalized,time_normalized,0.0,0.0,0.0,0.0,0.9999908804893494,2026-05-12T11:00:00,,HALLUCINATION
222:location,location,1.0,1.0,1.0,1.0,0.9,remoto - zoom,remoto - zoom,EXACT_MATCH
222:topic,topic,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9853750467300415,submissao de artigo,pedido de equivalencias,HALLUCINATION
216:participants,participants,0.0,0.0,0.0,0.0,0.954879879951477,Prof. Ricardo Mendes,Carolina Silva,HALLUCINATION
216:time,time,0.0,0.0,0.0,0.0,0.9999983906745911,ao final do dia,,TRUNCATION
